timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1, whisker2, whisker3, motor1, motor2, motor3, motor4, otX, otY, otZ, yaw, laserFront
175440, 0.0, 0.0, 60.70034408569336, 0.0, 0.0, -0.0568389892578125, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
175460, 0.0, 0.0, 60.69729232788086, 0.0, 0.0, -0.1445770263671875, 155798.609375, 143954.0625, 152111.25, 0.0, 0.0, 0.0, 0.0, -0.18493294715881348, -0.12415075302124023, 0.02141079306602478, -152.4438018798828, 198.0
175480, 0.0, 0.0, 60.70624923706055, 0.0, 0.0, 0.4241943359375, 155788.015625, 143959.65625, 152105.015625, 0.0, 0.0, 0.0, 0.0, -0.18484807014465332, -0.12406635284423828, 0.021277964115142822, -152.4435577392578, 192.0
175500, 0.0, 0.0, 60.69480514526367, 0.0, 0.0, -0.5420684814453125, 155793.59375, 143959.65625, 152106.890625, 0.0, 0.0, 0.0, 0.0, -0.18482637405395508, -0.12426567077636719, 0.021636486053466797, -152.44271850585938, 192.0
175520, 0.0, 0.0, 60.677223205566406, 0.0, 0.0, -0.8327484130859375, 155795.53125, 143958.96875, 152112.46875, 0.0, 0.0, 0.0, 0.0, -0.18490815162658691, -0.12403368949890137, 0.02102077007293701, -152.4433135986328, 192.0
175540, 0.0, 0.0, 60.68272399902344, 0.0, 0.0, 0.2605438232421875, 155802.484375, 143954.734375, 152100.046875, 0.0, 0.0, 0.0, 0.0, -0.18476271629333496, -0.12415361404418945, 0.021484851837158203, -152.44302368164062, 192.0
175560, 0.0, 0.0, 60.68510055541992, 0.0, 0.0, 0.1125335693359375, 155796.109375, 143961.4375, 152106.890625, 0.0, 0.0, 0.0, 0.0, -0.18474340438842773, -0.12424087524414062, 0.021882206201553345, -152.44366455078125, 192.0
175580, 0.0, 0.0, 60.68286895751953, 0.0, 0.0, -0.1056671142578125, 155789.953125, 143956.515625, 152107.5, 0.0, 0.0, 0.0, 0.0, -0.18468260765075684, -0.12431859970092773, 0.021550744771957397, -152.44515991210938, 199.0
175600, 0.0, 0.0, 60.68937301635742, 0.0, 0.0, 0.3082275390625, 155788.015625, 143958.96875, 152102.53125, 0.0, 0.0, 0.0, 0.0, -0.18490147590637207, -0.12409687042236328, 0.021530896425247192, -152.44586181640625, 199.0
175620, 0.0, 0.0, 60.70502853393555, 0.0, 0.0, 0.7415771484375, 155788.015625, 143952.28125, 152107.5, 0.0, 0.0, 0.0, 0.0, -0.1848759651184082, -0.12416791915893555, 0.02145633101463318, -152.44586181640625, 199.0
175640, 0.0, 0.0, 60.71251678466797, 0.0, 0.0, 0.354766845703125, 155800.546875, 143967.03125, 152109.984375, 0.0, 0.0, 0.0, 0.0, -0.1850125789642334, -0.12415862083435059, 0.021383017301559448, -152.44569396972656, 199.0
175660, 0.0, 0.0, 60.73936080932617, 0.0, 0.0, 1.2714385986328125, 155791.09375, 143962.109375, 152111.859375, 0.0, 0.0, 0.0, 0.0, -0.18475890159606934, -0.12411928176879883, 0.021354645490646362, -152.44644165039062, 199.0
175680, 0.0, 0.0, 60.76422119140625, 0.0, 0.0, 1.1775970458984375, 155792.46875, 143950.484375, 152107.5, 0.0, 0.0, 0.0, 0.0, -0.1850748062133789, -0.12419605255126953, 0.021314233541488647, -152.4454803466797, 197.0
175700, 0.0, 0.0, 60.772926330566406, 0.0, 0.0, 0.4123687744140625, 155796.109375, 143951.59375, 152109.375, 0.0, 0.0, 0.0, 0.0, -0.18465209007263184, -0.12409615516662598, 0.021415024995803833, -152.4442138671875, 197.0
175720, 0.0, 0.0, 60.75712585449219, 0.0, 0.0, -0.748443603515625, 155799.984375, 143963.890625, 152114.34375, 0.0, 0.0, 0.0, 0.0, -0.18475055694580078, -0.1241610050201416, 0.021460652351379395, -152.44317626953125, 197.0
175740, 0.0, 0.0, 60.76926040649414, 0.0, 0.0, 0.5748748779296875, 155798.046875, 143959.65625, 152102.53125, 0.0, 0.0, 0.0, 0.0, -0.18466401100158691, -0.12396574020385742, 0.02125486731529236, -152.4418487548828, 197.0
175760, 0.0, 0.0, 60.74584197998047, 0.0, 0.0, -1.10931396484375, 155795.53125, 143957.859375, 152102.53125, 0.0, 0.0, 0.0, 0.0, -0.18488550186157227, -0.12409114837646484, 0.021618157625198364, -152.43968200683594, 197.0
175780, 0.0, 0.0, 60.73207092285156, 0.0, 0.0, -0.652313232421875, 155793.03125, 143963.890625, 152111.859375, 0.0, 0.0, 0.0, 0.0, -0.1847391128540039, -0.12429571151733398, 0.0216427743434906, -152.44003295898438, 195.0
175800, 0.0, 0.0, 60.716758728027344, 0.0, 0.0, -0.7251739501953125, 155797.484375, 143960.328125, 152104.40625, 0.0, 0.0, 0.0, 0.0, -0.18466663360595703, -0.12378263473510742, 0.02172902226448059, -152.4398956298828, 195.0
175820, 0.0, 0.0, 60.719940185546875, 0.0, 0.0, 0.1506805419921875, 155789.953125, 143966.34375, 152105.625, 0.0, 0.0, 0.0, 0.0, -0.18481945991516113, -0.12413978576660156, 0.021775245666503906, -152.438720703125, 195.0
175840, 0.0, 0.0, 60.72563171386719, 0.0, 0.0, 0.2696990966796875, 155794.96875, 143962.109375, 152111.859375, 0.0, 0.0, 0.0, 0.0, -0.18477106094360352, -0.12411189079284668, 0.021737903356552124, -152.4388885498047, 195.0
175860, 0.0, 0.0, 60.7240104675293, 0.0, 0.0, -0.0766754150390625, 155797.484375, 143962.78125, 152106.890625, 0.0, 0.0, 0.0, 0.0, -0.18474388122558594, -0.12422442436218262, 0.021581262350082397, -152.4368438720703, 195.0
175880, 0.0, 0.0, 60.714385986328125, 0.0, 0.0, -0.4558563232421875, 155799.984375, 143968.8125, 152106.890625, 0.0, 0.0, 0.0, 0.0, -0.18472862243652344, -0.12418961524963379, 0.02174469828605652, -152.43692016601562, 192.0
175900, 0.0, 0.0, 60.70139694213867, 0.0, 0.0, -0.6153106689453125, 155800.546875, 143962.109375, 152108.109375, 0.0, 0.0, 0.0, 0.0, -0.18497371673583984, -0.12411713600158691, 0.021384328603744507, -152.43809509277344, 192.0
