timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1, whisker2, whisker3, motor1, motor2, motor3, motor4, otX, otY, otZ, yaw, laserFront
210222, -0.2690373659133911, -0.05317043885588646, 0.020634710788726807, -0.8712832927703857, 0.4991146922111511, -0.16354988515377045, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
210243, -0.2826457619667053, -0.04491434246301651, 0.018058184534311295, -0.8994489908218384, 0.5345971584320068, -0.1684773564338684, 158334.734375, 127317.3203125, 158467.609375, 0.0, 0.0, 0.0, 0.0, -0.2631521224975586, -0.05650627613067627, 0.02174478769302368, 0.27773672342300415, 94.0
210262, -0.2940344512462616, -0.036669205874204636, 0.015359653159976006, -0.9728953242301941, 0.6233894228935242, -0.20006848871707916, 158332.78125, 127313.7109375, 158467.609375, 0.0, 0.0, 0.0, 0.0, -0.26318931579589844, -0.056555747985839844, 0.021581172943115234, 0.4493291974067688, 91.0
210282, -0.3128296434879303, -0.020828688517212868, 0.009147756733000278, -1.1906636953353882, 0.8476750254631042, -0.31968504190444946, 158330.828125, 127316.6484375, 158465.640625, 0.0, 0.0, 0.0, 0.0, -0.26326560974121094, -0.056457340717315674, 0.02179485559463501, 0.6292470693588257, 91.0
210303, -0.35624414682388306, 0.01712918095290661, -0.009041463024914265, -1.7200978994369507, 1.3245809078216553, -0.7097253799438477, 158330.828125, 127315.71875, 158469.5625, 0.0, 0.0, 0.0, 0.0, -0.2633070945739746, -0.05645322799682617, 0.021808624267578125, 1.422284483909607, 91.0
210322, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 158332.78125, 127313.7109375, 158467.609375, 0.0, 0.0, 0.0, 0.0, -0.2631535530090332, -0.05645400285720825, 0.021545708179473877, 5.370524883270264, 91.0
210343, -0.2631553113460541, -0.056498974561691284, 0.021775316447019577, 0.005030020140111446, -0.003909714054316282, -0.0002565273898653686, 158334.734375, 127306.6484375, 158467.609375, 0.0, 0.0, 0.0, 0.0, -0.2631993293762207, -0.05649387836456299, 0.02172347903251648, 0.027747591957449913, 91.0
210362, -0.26315072178840637, -0.05654095485806465, 0.021750222891569138, 0.007151344325393438, -0.00628867419436574, -0.0005322242504917085, 158334.734375, 127311.1875, 158465.640625, 0.0, 0.0, 0.0, 0.0, -0.26315832138061523, -0.05652332305908203, 0.021515995264053345, 0.1267729550600052, 90.0
210383, -0.262907475233078, -0.05677822604775429, 0.021715037524700165, 0.013481544330716133, -0.01354588009417057, -0.0005535249365493655, 158332.78125, 127307.578125, 158463.6875, 0.0, 0.0, 0.0, 0.0, -0.2631716728210449, -0.0563623309135437, 0.021702498197555542, 0.18836385011672974, 90.0
210403, -0.2628571689128876, -0.05686144530773163, 0.021699827164411545, 0.014838363975286484, -0.016720488667488098, -0.0006008388008922338, 158334.734375, 127309.84375, 158465.640625, 0.0, 0.0, 0.0, 0.0, -0.2632622718811035, -0.05637836456298828, 0.02154126763343811, 0.25575000047683716, 90.0
210422, -0.26266536116600037, -0.0571560338139534, 0.02169959619641304, 0.018169783055782318, -0.02275722846388817, -0.0006002439768053591, 158332.78125, 127307.578125, 158467.609375, 0.0, 0.0, 0.0, 0.0, -0.2632474899291992, -0.056517064571380615, 0.021578848361968994, 0.2984278202056885, 90.0
210442, -0.26241400837898254, -0.05755030736327171, 0.021670298650860786, 0.02121460810303688, -0.028885861858725548, -0.0005490723415277898, 158334.734375, 127304.3828125, 158467.609375, 0.0, 0.0, 0.0, 0.0, -0.26337718963623047, -0.05650049448013306, 0.021249920129776, 0.347403883934021, 90.0
210462, -0.26218336820602417, -0.05798150599002838, 0.021668225526809692, 0.023303674533963203, -0.03496461734175682, -0.00072005350375548, 158336.6875, 127301.4453125, 158467.609375, 0.0, 0.0, 0.0, 0.0, -0.26320981979370117, -0.05648761987686157, 0.021621793508529663, 0.38276565074920654, 90.0
210482, -0.26197704672813416, -0.058448053896427155, 0.021672315895557404, 0.02499879151582718, -0.04068527743220329, -0.0007898169569671154, 158332.78125, 127315.0546875, 158465.640625, 0.0, 0.0, 0.0, 0.0, -0.26322221755981445, -0.056501686573028564, 0.021714597940444946, 0.42455238103866577, 90.0
210502, -0.26167717576026917, -0.059053223580121994, 0.021649634465575218, 0.02728307619690895, -0.046631015837192535, -0.001218148390762508, 158334.734375, 127313.453125, 158471.515625, 0.0, 0.0, 0.0, 0.0, -0.2631816864013672, -0.05644381046295166, 0.021677851676940918, 0.44920337200164795, 90.0
210522, -0.26147016882896423, -0.059580013155937195, 0.02165379375219345, 0.028438158333301544, -0.05140247941017151, -0.0013107267441228032, 158332.78125, 127302.1171875, 158465.640625, 0.0, 0.0, 0.0, 0.0, -0.2632026672363281, -0.05645936727523804, 0.021655946969985962, 0.48151081800460815, 90.0
210542, -0.2611938416957855, -0.06024201959371567, 0.021624507382512093, 0.0295933298766613, -0.05614294111728668, -0.0015369611792266369, 158330.828125, 127295.984375, 158467.609375, 0.0, 0.0, 0.0, 0.0, -0.2631998062133789, -0.056416213512420654, 0.021558672189712524, 0.5103914141654968, 90.0
210562, -0.26104235649108887, -0.0607544481754303, 0.02161104418337345, 0.029714472591876984, -0.059401679784059525, -0.0018061192240566015, 158332.78125, 127306.6484375, 158465.640625, 0.0, 0.0, 0.0, 0.0, -0.2632746696472168, -0.0564800500869751, 0.02172297239303589, 0.531387448310852, 94.0
210582, -0.2608371376991272, -0.06134476885199547, 0.021600302308797836, 0.030072161927819252, -0.06243010237812996, -0.0015071716625243425, 158334.734375, 127303.7109375, 158465.640625, 0.0, 0.0, 0.0, 0.0, -0.2632408142089844, -0.056452810764312744, 0.021707087755203247, 0.5554811358451843, 94.0
210602, -0.260773628950119, -0.06168399751186371, 0.021582424640655518, 0.02910161390900612, -0.06338240951299667, -0.0018746645655483007, 158334.734375, 127305.3125, 158469.5625, 0.0, 0.0, 0.0, 0.0, -0.26320505142211914, -0.05640137195587158, 0.02163386344909668, 0.5712437033653259, 94.0
210622, -0.2607560455799103, -0.06192992627620697, 0.0215854961425066, 0.02815018780529499, -0.06342824548482895, -0.001633722917176783, 158332.78125, 127302.375, 158471.515625, 0.0, 0.0, 0.0, 0.0, -0.26349639892578125, -0.05659747123718262, 0.021954834461212158, 0.5911553502082825, 94.0
210642, -0.26064521074295044, -0.062333058565855026, 0.02156548574566841, 0.027995456010103226, -0.06400107592344284, -0.0016721474239602685, 158330.828125, 127307.578125, 158469.5625, 0.0, 0.0, 0.0, 0.0, -0.26316165924072266, -0.056547582149505615, 0.0214805006980896, 0.6096795201301575, 94.0
210662, -0.26067668199539185, -0.06243705749511719, 0.021556377410888672, 0.026902301236987114, -0.06272704154253006, -0.0014382887165993452, 158330.828125, 127303.7109375, 158467.609375, 0.0, 0.0, 0.0, 0.0, -0.26328229904174805, -0.05648386478424072, 0.021587133407592773, 0.6241677403450012, 96.0
210682, -0.2606270909309387, -0.06268184632062912, 0.021580692380666733, 0.026192782446742058, -0.0619509294629097, -0.001058090478181839, 158332.78125, 127303.7109375, 158467.609375, 0.0, 0.0, 0.0, 0.0, -0.2632279396057129, -0.05650627613067627, 0.021925121545791626, 0.6398552060127258, 96.0
210702, -0.2607068419456482, -0.06261785328388214, 0.02159762941300869, 0.024811672046780586, -0.060043830424547195, -0.00094388029538095, 158332.78125, 127312.109375, 158467.609375, 0.0, 0.0, 0.0, 0.0, -0.2631831169128418, -0.05643343925476074, 0.021625936031341553, 0.6505060791969299, 96.0
210722, -0.2608276605606079, -0.06248490512371063, 0.02159818634390831, 0.023440005257725716, -0.0581519640982151, -0.0007651213672943413, 158332.78125, 127305.984375, 158463.6875, 0.0, 0.0, 0.0, 0.0, -0.2631831169128418, -0.05643117427825928, 0.021604210138320923, 0.6652709245681763, 96.0
210742, -0.2607923746109009, -0.06269338726997375, 0.021593034267425537, 0.023193011060357094, -0.05789399892091751, -0.0007263876614160836, 158334.734375, 127310.515625, 158467.609375, 0.0, 0.0, 0.0, 0.0, -0.2631711959838867, -0.05652350187301636, 0.021611273288726807, 0.678510308265686, 96.0
210762, -0.26086580753326416, -0.06260736286640167, 0.021608488634228706, 0.02208155021071434, -0.05629190057516098, -0.0008871582103893161, 158332.78125, 127302.1171875, 158467.609375, 0.0, 0.0, 0.0, 0.0, -0.26320505142211914, -0.05637991428375244, 0.021687358617782593, 0.6883345246315002, 93.0
210782, -0.26085230708122253, -0.06271733343601227, 0.02160595916211605, 0.021615363657474518, -0.05557895451784134, -0.0009458418353460729, 158334.734375, 127301.4453125, 158467.609375, 0.0, 0.0, 0.0, 0.0, -0.2632160186767578, -0.05644559860229492, 0.021740347146987915, 0.6995568871498108, 93.0
210802, -0.26095858216285706, -0.0625506341457367, 0.02160278521478176, 0.02049672231078148, -0.053779762238264084, -0.0012594369472935796, 158330.828125, 127303.7109375, 158467.609375, 0.0, 0.0, 0.0, 0.0, -0.26316165924072266, -0.05642521381378174, 0.021642595529556274, 0.7104672789573669, 93.0
210822, -0.26107361912727356, -0.062338825315237045, 0.021621184423565865, 0.01946243830025196, -0.05142728239297867, -0.0012046094052493572, 158332.78125, 127308.921875, 158465.640625, 0.0, 0.0, 0.0, 0.0, -0.2632012367248535, -0.05648750066757202, 0.021609097719192505, 0.7192241549491882, 93.0
210842, -0.2610427737236023, -0.06245991215109825, 0.021588411182165146, 0.019359707832336426, -0.050909046083688736, -0.0010712617076933384, 158330.828125, 127303.7109375, 158467.609375, 0.0, 0.0, 0.0, 0.0, -0.2630910873413086, -0.05643385648727417, 0.02146974205970764, 0.7301650643348694, 93.0
210862, -0.26113036274909973, -0.06228741258382797, 0.0215985719114542, 0.01862088218331337, -0.04920229688286781, -0.0012056616833433509, 158332.78125, 127306.6484375, 158467.609375, 0.0, 0.0, 0.0, 0.0, -0.2632021903991699, -0.05635404586791992, 0.021678119897842407, 0.7401361465454102, 98.0
210882, -0.26105251908302307, -0.06252764910459518, 0.02157793752849102, 0.018262632191181183, -0.04908940568566322, -0.0016764465253800154, 158338.625, 127297.578125, 158467.609375, 0.0, 0.0, 0.0, 0.0, -0.2632260322570801, -0.05642843246459961, 0.02171948552131653, 0.7477161288261414, 98.0
