timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1_1, whisker1_2, whisker1_3, whisker2_1, whisker2_2, whisker2_3, motor1, motor2, motor3, motor4, roll, pitch, laserFront
1019405, -0.6154139041900635, -0.44360843300819397, 0.1135256364941597, -0.04210779815912247, 0.023611053824424744, 0.1072470024228096, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1019425, -0.6159325242042542, -0.4434767961502075, 0.11568586528301239, -0.041928909718990326, 0.024167392402887344, 0.11071566492319107, 157897.53125, 121231.953125, 158006.0, 149797.71875, 142089.34375, 160520.8125, 43863.0, 42657.0, 43221.0, 43942.0, 0.5505844354629517, -1.1974929571151733, 322.0
1019445, -0.6149048209190369, -0.44314542412757874, 0.11601793020963669, -0.04032834619283676, 0.022125205025076866, 0.10568507015705109, 157899.46875, 121234.1796875, 158002.125, 149791.5, 142084.453125, 160515.8125, 43805.0, 42224.0, 43487.0, 44378.0, 0.5334913730621338, -1.2052216529846191, 394.0
1019465, -0.6142550706863403, -0.44321408867836, 0.11820138245820999, -0.039384450763463974, 0.02144204080104828, 0.11377965658903122, 157897.53125, 121239.3671875, 158004.0625, 149789.640625, 142098.4375, 160525.28125, 44277.0, 42558.0, 43155.0, 44386.0, 0.5109879970550537, -1.1792269945144653, 394.0
1019485, -0.6114711761474609, -0.4444105327129364, 0.1205369383096695, -0.041321080178022385, 0.022141283378005028, 0.12291087955236435, 157899.46875, 121229.640625, 158007.9375, 149792.75, 142098.4375, 160526.890625, 44004.0, 42349.0, 43346.0, 44267.0, 0.5157787203788757, -1.136505365371704, 394.0
1019505, -0.6102482676506042, -0.44459807872772217, 0.12153564393520355, -0.03961816057562828, 0.02118598483502865, 0.12598054111003876, 157897.53125, 121247.578125, 158004.0625, 149795.234375, 142108.921875, 160530.8125, 43289.0, 41594.0, 43452.0, 44751.0, 0.4951423108577728, -1.059535026550293, 517.0
1019525, -0.6067829728126526, -0.4452272355556488, 0.12413038313388824, -0.041201818734407425, 0.02075696736574173, 0.13641701638698578, 157895.59375, 121249.8046875, 158006.0, 149798.96875, 142108.921875, 160535.28125, 43378.0, 42934.0, 43241.0, 43589.0, 0.43189847469329834, -1.0055670738220215, 517.0
1019545, -0.6024031043052673, -0.4451634883880615, 0.12417639791965485, -0.043103549629449844, 0.01922820694744587, 0.13430020213127136, 157895.59375, 121248.296875, 158002.125, 149798.34375, 142118.015625, 160533.859375, 43713.0, 43011.0, 42416.0, 43227.0, 0.45921024680137634, -0.8930707573890686, 517.0
1019565, -0.6007641553878784, -0.44475090503692627, 0.12694653868675232, -0.042914461344480515, 0.01704985648393631, 0.1446385234594345, 157897.53125, 121250.5234375, 158006.0, 149795.859375, 142112.765625, 160519.390625, 43496.0, 42713.0, 42541.0, 43700.0, 0.5631775856018066, -0.7605829834938049, 513.0
1019585, -0.5955968499183655, -0.44668370485305786, 0.12972129881381989, -0.04635409265756607, 0.016909420490264893, 0.15091829001903534, 157893.65625, 121242.3125, 158006.0, 149800.828125, 142113.8125, 160524.390625, 43210.0, 42480.0, 42402.0, 43590.0, 0.6106124520301819, -0.6572496294975281, 513.0
