timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1_1, whisker1_2, whisker1_3, whisker2_1, whisker2_2, whisker2_3, motor1, motor2, motor3, motor4, roll, pitch, whiskerP1_2, whiskerP2_2, laserFront
108001, 0.12501093745231628, 0.032378654927015305, 0.10940110683441162, 0.07883207499980927, 0.018208187073469162, 0.15306827425956726, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
108021, 0.1267370581626892, 0.03284590691328049, 0.11247898638248444, 0.07663898169994354, 0.019226698204874992, 0.15764303505420685, 158352.296875, 119309.5234375, 158457.828125, 144200.984375, 132201.75, 152997.453125, 38656.0, 45658.0, 44821.0, 43467.0, 0.30480659008026123, 1.6511191129684448, 0, 0, 76.0
108041, 0.12802758812904358, 0.03311958536505699, 0.11344090104103088, 0.07102719694375992, 0.01781644858419895, 0.15203794836997986, 158352.296875, 119310.25, 158461.734375, 144204.109375, 132209.0, 153004.359375, 40040.0, 44667.0, 43759.0, 44213.0, 0.333968847990036, 1.647394061088562, 0, 0, 73.0
108061, 0.12941183149814606, 0.03362157940864563, 0.11657336354255676, 0.06608033180236816, 0.018730105832219124, 0.16129529476165771, 158350.34375, 119303.5703125, 158457.828125, 144196.671875, 132197.671875, 153000.546875, 42851.0, 42503.0, 41448.0, 46292.0, 0.3870154917240143, 1.4033442735671997, 0, 0, 73.0
108081, 0.13084372878074646, 0.033860139548778534, 0.11987651139497757, 0.06415051966905594, 0.01601143181324005, 0.16943207383155823, 158348.390625, 119311.75, 158459.78125, 144205.9375, 132204.921875, 153003.640625, 43966.0, 40797.0, 39617.0, 47391.0, 0.4200472831726074, 0.9282815456390381, 0, 0, 73.0
108101, 0.131844162940979, 0.033958565443754196, 0.12185276299715042, 0.060597650706768036, 0.012293706648051739, 0.17193876206874847, 158352.296875, 119314.7578125, 158461.734375, 144202.265625, 132212.15625, 153006.140625, 45218.0, 39437.0, 38012.0, 47963.0, 0.507107675075531, 0.3058217167854309, 0, 0, 74.0
108121, 0.13450120389461517, 0.03511456772685051, 0.12522673606872559, 0.07604411989450455, 0.019970828667283058, 0.17780348658561707, 158350.34375, 119313.9765625, 158455.859375, 144212.1875, 132221.8125, 153008.625, 45663.0, 38475.0, 37280.0, 48303.0, 0.5702871680259705, -0.3343758285045624, 0, 0, 74.0
108141, 0.1362328976392746, 0.03572865575551987, 0.12880747020244598, 0.08096776902675629, 0.020430274307727814, 0.18260355293750763, 158348.390625, 119312.46875, 158459.78125, 144211.53125, 132221.0625, 153008.046875, 46150.0, 37811.0, 35842.0, 48486.0, 0.5082889199256897, -1.050475835800171, 0, 0, 74.0
108161, 0.13794061541557312, 0.036213040351867676, 0.13252992928028107, 0.0864936113357544, 0.01942106895148754, 0.189630389213562, 158350.34375, 119312.46875, 158457.828125, 144215.3125, 132224.21875, 153018.625, 46131.0, 38455.0, 35463.0, 47852.0, 0.4949389100074768, -1.5549062490463257, 0, 0, 73.0
108181, 0.14027351140975952, 0.03641883283853531, 0.13617166876792908, 0.09755299240350723, 0.01603582687675953, 0.19287970662117004, 158348.390625, 119310.96875, 158457.828125, 144215.953125, 132219.390625, 153014.21875, 44930.0, 38600.0, 36949.0, 47260.0, 0.5451026558876038, -1.9832900762557983, 0, 0, 73.0
