timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1_1, whisker1_2, whisker1_3, whisker2_1, whisker2_2, whisker2_3, motor1, motor2, motor3, motor4, roll, pitch, whiskerP1_2, whiskerP2_2, laserFront
1052143, -0.7643985152244568, -0.33780062198638916, 0.10094472765922546, -0.05013975128531456, 0.010581379756331444, 0.15664558112621307, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1052163, -0.7650449275970459, -0.3377346098423004, 0.10570657253265381, -0.043350350111722946, 0.009209413081407547, 0.17395001649856567, 157885.921875, 121267.421875, 157992.421875, 150232.5, 142764.84375, 161039.28125, 45128.0, 39988.0, 42936.0, 44657.0, 0.4333440363407135, -1.9000869989395142, 0, 0, 224.0
1052183, -0.7658409476280212, -0.3375638425350189, 0.10930334031581879, -0.03625895455479622, 0.007861725986003876, 0.18526524305343628, 157885.921875, 121267.421875, 157992.421875, 150225.671875, 142770.4375, 161045.359375, 45059.0, 39871.0, 42361.0, 44173.0, 0.4340457022190094, -1.9499715566635132, 0, 0, 224.0
1052203, -0.7604780793190002, -0.33753490447998047, 0.11213439702987671, -0.03783007338643074, 0.006565318908542395, 0.18683448433876038, 157885.921875, 121267.421875, 157992.421875, 150223.1875, 142772.890625, 161042.859375, 43963.0, 40643.0, 42586.0, 43003.0, 0.450101763010025, -1.9609935283660889, 0, 0, 209.0
1052223, -0.75093013048172, -0.3391557037830353, 0.11588224023580551, -0.04560008645057678, 0.007319116964936256, 0.19200845062732697, 157885.921875, 121267.421875, 157992.421875, 150236.234375, 142772.1875, 161039.828125, 42109.0, 41516.0, 43800.0, 42077.0, 0.44212430715560913, -1.8181180953979492, 0, 0, 209.0
1052243, -0.7440765500068665, -0.33939722180366516, 0.11939872801303864, -0.05074208974838257, 0.006363228894770145, 0.19335591793060303, 157885.921875, 121267.421875, 157992.421875, 150234.375, 142777.09375, 161051.796875, 41441.0, 41774.0, 43791.0, 41845.0, 0.4107382595539093, -1.6155461072921753, 0, 0, 209.0
1052263, -0.7370898723602295, -0.34074780344963074, 0.12322226911783218, -0.05711197480559349, 0.00695084361359477, 0.19373954832553864, 157885.921875, 121267.421875, 157992.421875, 150232.5, 142779.53125, 161045.90625, 41754.0, 41191.0, 42950.0, 42386.0, 0.39777037501335144, -1.3722552061080933, 0, 0, 240.0
1052283, -0.7335875034332275, -0.3422463536262512, 0.1270464062690735, -0.059477925300598145, 0.007923921570181847, 0.19279441237449646, 157885.921875, 121267.421875, 157992.421875, 150231.890625, 142781.984375, 161047.328125, 42350.0, 40560.0, 41862.0, 43121.0, 0.3821747899055481, -1.199952483177185, 0, 0, 240.0
1052303, -0.7313845157623291, -0.34241876006126404, 0.12818695604801178, -0.06112872064113617, 0.007452154532074928, 0.17748966813087463, 157885.921875, 121267.421875, 157992.421875, 150240.578125, 142775.328125, 161055.359375, 42556.0, 40583.0, 41538.0, 44066.0, 0.3386683762073517, -1.0728236436843872, 0, 0, 240.0
1052323, -0.727263867855072, -0.3429933488368988, 0.13166543841362, -0.06537841260433197, 0.007356111891567707, 0.175925612449646, 157885.921875, 121267.421875, 157992.421875, 150238.09375, 142787.578125, 161052.859375, 42581.0, 41890.0, 40662.0, 43284.0, 0.3094995319843292, -0.9846336245536804, 0, 0, 249.0
1052343, -0.7253087759017944, -0.3429664969444275, 0.13625888526439667, -0.06658751517534256, 0.006139611825346947, 0.1803624927997589, 157885.921875, 121267.421875, 157992.421875, 150236.84375, 142791.078125, 161055.90625, 41292.0, 42448.0, 41538.0, 43222.0, 0.3878017067909241, -0.9638981223106384, 0, 0, 249.0
1052363, -0.7236219644546509, -0.34420984983444214, 0.13981662690639496, -0.06793767958879471, 0.006801007781177759, 0.1777334362268448, 157885.921875, 121267.421875, 157992.421875, 150253.625, 142785.125, 161052.859375, 37908.0, 40818.0, 41314.0, 42284.0, 0.3800252079963684, -0.9090899229049683, 0, 0, 249.0
1052383, -0.7220313549041748, -0.34630274772644043, 0.1442948579788208, -0.06937512010335922, 0.009149635210633278, 0.178484246134758, 157885.921875, 121267.421875, 157992.421875, 150246.78125, 142800.5, 161052.859375, 37905.0, 40550.0, 40764.0, 42614.0, 0.2127939760684967, -0.8507919311523438, 0, 0, 261.0
1052403, -0.7199296355247498, -0.34612637758255005, 0.14774896204471588, -0.07198627293109894, 0.00871977023780346, 0.17002540826797485, 157885.921875, 121267.421875, 157992.421875, 150246.171875, 142800.5, 161058.9375, 38821.0, 40754.0, 39055.0, 41772.0, 0.09725167602300644, -0.8220654129981995, 0, 0, 261.0
1052423, -0.7194682955741882, -0.3452584743499756, 0.15141358971595764, -0.07222744822502136, 0.007151011377573013, 0.16098237037658691, 157885.921875, 121267.421875, 157992.421875, 150253.625, 142798.0625, 161060.90625, 39340.0, 41273.0, 38310.0, 41403.0, 0.1631980687379837, -0.8172236084938049, 0, 0, 261.0
1052443, -0.7189713716506958, -0.3454371392726898, 0.15449018776416779, -0.07273692637681961, 0.006727513391524553, 0.14793555438518524, 157885.921875, 121267.421875, 157992.421875, 150251.75, 142797.359375, 161058.40625, 39317.0, 41186.0, 38339.0, 41649.0, 0.3225114941596985, -0.7928613424301147, 0, 0, 269.0
1052463, -0.7172948718070984, -0.3455207645893097, 0.15726929903030396, -0.07545684278011322, 0.00572440680116415, 0.13295212388038635, 157885.921875, 121267.421875, 157992.421875, 150254.859375, 142790.71875, 161053.9375, 38706.0, 41297.0, 39078.0, 41937.0, 0.42550548911094666, -0.7396202087402344, 0, 0, 269.0
1052483, -0.7165915966033936, -0.34707555174827576, 0.16122084856033325, -0.07669417560100555, 0.0069973100908100605, 0.12358755618333817, 157885.921875, 121267.421875, 157992.421875, 150249.265625, 142813.8125, 161067.875, 38343.0, 40901.0, 40129.0, 42557.0, 0.42999982833862305, -0.7557242512702942, 0, 0, 269.0
1052503, -0.7175890207290649, -0.3470478355884552, 0.16355228424072266, -0.07504697889089584, 0.006005722098052502, 0.11026965826749802, 157885.921875, 121267.421875, 157992.421875, 150257.34375, 142800.5, 161077.875, 38813.0, 40694.0, 40070.0, 42547.0, 0.33700039982795715, -0.8178992867469788, 0, 0, 285.0
1052523, -0.7169304490089417, -0.34841224551200867, 0.16657428443431854, -0.07606793940067291, 0.007628321647644043, 0.10162881016731262, 157885.921875, 121267.421875, 157992.421875, 150249.890625, 142804.703125, 161068.953125, 38781.0, 40854.0, 40679.0, 42693.0, 0.2648288309574127, -0.8762696981430054, 0, 0, 285.0
1052543, -0.7163283228874207, -0.34886330366134644, 0.16845287382602692, -0.07708288729190826, 0.007987822405993938, 0.08832237869501114, 157885.921875, 121267.421875, 157992.421875, 150253.0, 142812.046875, 161065.90625, 39574.0, 40771.0, 40353.0, 42815.0, 0.20076428353786469, -0.9026150107383728, 0, 0, 320.0
1052563, -0.7163113951683044, -0.3491290807723999, 0.1696447879076004, -0.07707393169403076, 0.008229538798332214, 0.07385169714689255, 157885.921875, 121267.421875, 157992.421875, 150257.96875, 142805.40625, 161078.40625, 37887.0, 39975.0, 39678.0, 41070.0, 0.15945471823215485, -0.9338288307189941, 0, 0, 320.0
1052583, -0.716896116733551, -0.3491024971008301, 0.17097535729408264, -0.07598604261875153, 0.008015441708266735, 0.06014493480324745, 157885.921875, 121267.421875, 157992.421875, 150254.234375, 142813.4375, 161070.90625, 38655.0, 40378.0, 39416.0, 40829.0, 0.1411464661359787, -0.9169373512268066, 0, 0, 320.0
1052603, -0.7156608700752258, -0.34947076439857483, 0.17161382734775543, -0.07870808988809586, 0.008478455245494843, 0.042497336864471436, 157885.921875, 121267.421875, 157992.421875, 150259.828125, 142817.640625, 161078.953125, 38831.0, 40809.0, 39382.0, 40593.0, 0.18677149713039398, -0.9050047993659973, 0, 0, 370.0
1052623, -0.7157697677612305, -0.3493936359882355, 0.17228122055530548, -0.07895977795124054, 0.007830682210624218, 0.02538205310702324, 157885.921875, 121267.421875, 157992.421875, 150262.3125, 142814.5, 161069.484375, 38964.0, 40690.0, 39867.0, 41244.0, 0.2797895669937134, -0.9000368118286133, 0, 0, 370.0
1052643, -0.7159740328788757, -0.3494853377342224, 0.1725957989692688, -0.07918204367160797, 0.00732523063197732, 0.008066157810389996, 157885.921875, 121267.421875, 157992.421875, 150269.140625, 142810.984375, 161076.453125, 39203.0, 40907.0, 40489.0, 41509.0, 0.3251470923423767, -0.8786009550094604, 0, 0, 370.0
1052663, -0.715757429599762, -0.34961873292922974, 0.17189551889896393, -0.08051525801420212, 0.0068427142687141895, -0.01093308161944151, 157885.921875, 121267.421875, 157992.421875, 150269.765625, 142810.984375, 161074.484375, 39406.0, 41555.0, 40836.0, 41713.0, 0.33912795782089233, -0.8829896450042725, 0, 0, 475.0
1052683, -0.7162671685218811, -0.34974974393844604, 0.17152266204357147, -0.08027531206607819, 0.006286488380283117, -0.02469424344599247, 157885.921875, 121267.421875, 157992.421875, 150271.0, 142815.890625, 161085.921875, 39548.0, 41951.0, 41450.0, 42209.0, 0.3557869493961334, -0.8858866691589355, 0, 0, 475.0
1052703, -0.716495931148529, -0.3498660624027252, 0.168000727891922, -0.0809086263179779, 0.005684547126293182, -0.05031977966427803, 157885.921875, 121267.421875, 157992.421875, 150274.734375, 142806.78125, 161090.375, 40652.0, 42405.0, 40901.0, 42496.0, 0.3701223134994507, -0.9018963575363159, 0, 0, 475.0
