timestamp,Distance1,Distance2
1714480914.3195782,0,0
1714480914.329788,0,0
1714480914.3401747,0,0
1714480914.3503897,0,0
1714480914.360628,0,0
1714480914.370864,0,0
1714480914.3810155,0,0
1714480914.3912318,0,0
1714480914.4014761,0,0
1714480914.4117343,0,0
1714480914.4219694,0,0
1714480914.4322343,0,0
1714480914.442471,0,0
1714480914.4527028,0,0
1714480914.4629266,0,0
1714480914.4732587,0,0
1714480914.4834838,0,0
1714480914.4937465,0,0
1714480914.503968,0,0
1714480914.514187,0,0
1714480914.524429,0,0
1714480914.5346692,0,0
1714480914.5448914,0,0
1714480914.5551126,0,0
1714480914.5654633,0,0
1714480914.5757022,0,0
1714480914.5859303,0,0
1714480914.596153,0,0
1714480914.6064043,0,0
1714480914.6166978,0,0
1714480914.6269145,0,0
1714480914.637379,0,0
1714480914.6477878,0,0
1714480914.6582832,0,0
1714480914.668517,0,0
1714480914.6787527,0,0
1714480914.6890001,0,0
1714480914.699319,0,0
1714480914.7096796,0,0
1714480914.7198966,0,0
1714480914.730133,0,0
1714480914.7403598,0,0
1714480914.750577,0,0
1714480914.7609842,0,0
1714480914.771226,0,0
1714480914.781439,0,0
1714480914.7916555,0,0
1714480914.8018854,0,0
1714480914.8124208,0,0
1714480914.8226516,0,0
1714480914.832887,0,0
1714480914.8430705,0,0
1714480914.8531961,0,0
1714480914.8637185,0,0
1714480914.873854,0,0
1714480914.8840945,0,0
1714480914.894312,0,0
1714480914.9045527,0,0
1714480914.9148045,0,0
1714480914.925036,0,0
1714480914.935341,0,0
1714480914.9455836,0,0
1714480914.9558268,0,0
1714480914.9660437,0,0
1714480914.9762607,0,0
1714480914.986507,0,0
1714480914.996745,0,0
1714480915.007002,0,0
1714480915.0172353,0,0
1714480915.027461,0,0
1714480915.0376956,0,0
1714480915.0479288,0,0
1714480915.0583963,0,0
1714480915.0686562,0,0
1714480915.0788922,0,0
1714480915.0891216,0,0
1714480915.099461,0,0
1714480915.1098394,0,0
1714480915.1200671,0,0
1714480915.1302986,0,0
1714480915.140541,0,0
1714480915.150878,0,0
1714480915.1610024,0,0
1714480915.1712186,0,0
1714480915.1814628,0,0
1714480915.1917033,0,0
1714480915.2019281,0,0
1714480915.2121637,0,0
1714480915.222407,0,0
1714480915.2327225,0,0
1714480915.242968,0,0
1714480915.2532423,0,0
1714480915.263523,0,0
1714480915.2737958,0,0
1714480915.2840607,0,0
1714480915.2942703,0,0
1714480915.3044896,0,0
1714480915.3147178,0,0
1714480915.3249187,0,0
1714480915.3354154,0,0
1714480915.345649,0,0
1714480915.3558822,0,0
1714480915.3661566,0,0
1714480915.3765788,0,0
