timestamp,Distance1,Distance2
1714485503.4922876,0,0
1714485503.5025108,0,0
1714485503.5131302,0,0
1714485503.5233567,0,0
1714485503.5335171,0,0
1714485503.543756,0,0
1714485503.5539837,0,0
1714485503.5641997,0,0
1714485503.5744202,0,0
1714485503.5846577,0,0
1714485503.5949552,0,0
1714485503.6051285,0,0
1714485503.6153486,0,0
1714485503.6255717,0,0
1714485503.635804,0,0
1714485503.6460288,0,0
1714485503.656265,0,0
1714485503.6665032,0,0
1714485503.6767216,0,0
1714485503.6870446,0,0
1714485503.6973794,0,0
1714485503.7076063,0,0
1714485503.7178445,0,0
1714485503.7280674,0,0
1714485503.7383177,0,0
1714485503.7485573,0,0
1714485503.7587986,0,0
1714485503.7689135,0,0
1714485503.7790751,0,0
1714485503.7892127,0,0
1714485503.7993362,0,0
1714485503.809462,0,0
1714485503.8195827,0,0
1714485503.8297052,0,0
1714485503.839804,0,0
1714485503.8500884,0,0
1714485503.860312,0,0
1714485503.870889,0,0
1714485503.8811104,0,0
1714485503.8913457,0,0
1714485503.901574,0,0
1714485503.9117987,0,0
1714485503.9220352,0,0
1714485503.9322581,0,0
1714485503.94249,0,0
1714485503.9527178,0,0
1714485503.9629695,0,0
1714485503.9731963,0,0
1714485503.9834442,0,0
1714485503.993792,0,0
1714485504.004023,0,0
1714485504.014244,0,0
1714485504.024476,0,0
1714485504.034597,0,0
1714485504.0448158,0,0
1714485504.0559022,0,0
1714485504.0661197,0,0
1714485504.0764797,0,0
1714485504.0870051,0,0
1714485504.0974174,0,0
1714485504.1076503,0,0
1714485504.1178837,0,0
1714485504.1281157,0,0
1714485504.1383374,0,0
1714485504.1485782,0,0
1714485504.1588178,0,0
1714485504.1692016,0,0
1714485504.1794262,0,0
1714485504.1896698,0,0
1714485504.2000015,0,0
1714485504.210232,0,0
1714485504.2204642,0,0
1714485504.2309718,0,0
1714485504.2410936,0,0
1714485504.2512803,0,0
1714485504.2618704,0,0
1714485504.2720902,0,0
1714485504.2823126,0,0
1714485504.2925427,0,0
1714485504.3027723,0,0
1714485504.3129911,0,0
1714485504.3232117,0,0
1714485504.3333597,0,0
1714485504.343688,0,0
1714485504.353919,0,0
1714485504.3644001,0,0
1714485504.374628,0,0
1714485504.3849795,0,0
1714485504.3952985,0,0
1714485504.405536,0,0
1714485504.4157712,0,0
1714485504.4261315,0,0
1714485504.436349,0,0
1714485504.446581,0,0
1714485504.4569607,0,0
1714485504.467106,0,0
1714485504.4773438,0,0
1714485504.4875834,0,0
1714485504.4978225,0,0
1714485504.5080469,0,0
1714485504.518282,0,0
1714485504.5285969,0,0
1714485504.53882,0,0
1714485504.5489514,0,0
1714485504.559184,0,0
1714485504.5694656,0,0
1714485504.5795975,0,0
1714485504.589717,0,0
1714485504.59993,0,0
1714485504.610285,0,0
1714485504.6204598,0,0
1714485504.6306558,0,0
1714485504.6408927,0,0
1714485504.6512141,0,0
1714485504.6613686,0,0
1714485504.6716025,0,0
1714485504.681837,0,0
1714485504.6920702,0,0
1714485504.7024424,0,0
1714485504.712677,0,0
1714485504.72275,0,0
1714485504.7328577,0,0
1714485504.7429266,0,0
1714485504.7532864,0,0
1714485504.76343,0,0
1714485504.7735496,0,0
