timestamp,whisker1_1,whisker2_1
1725351314.633591,0,0
1725351314.6538177,0,0
1725351314.674075,0,0
1725351314.694301,0,0
1725351314.7145321,0,0
1725351314.7350695,0,0
1725351314.75531,0,0
1725351314.7755518,0,0
1725351314.795775,0,0
1725351314.816045,0,0
1725351314.8362744,0,0
1725351314.856705,0,0
1725351314.8769388,0,0
1725351314.8971612,0,0
1725351314.9173987,0,0
1725351314.937632,0,0
1725351314.957879,0,0
1725351314.9781148,0,0
1725351314.998358,0,0
1725351315.0185878,0,0
1725351315.038927,0,0
1725351315.0591705,0,0
1725351315.079753,0,0
1725351315.1001492,0,0
1725351315.1203954,0,0
1725351315.1406312,0,0
1725351315.1608803,0,0
1725351315.1810954,0,0
1725351315.2013288,0,0
1725351315.2215767,0,0
1725351315.241814,0,0
1725351315.2620413,0,0
1725351315.282278,0,0
1725351315.3025217,0,0
1725351315.3227484,0,0
1725351315.34312,0,0
1725351315.3633647,0,0
1725351315.3837066,0,0
1725351315.403928,0,0
1725351315.4241586,0,0
1725351315.4443965,0,0
1725351315.464649,0,0
1725351315.4849,0,0
1725351315.5052493,0,0
1725351315.52547,0,0
1725351315.5457013,0,0
1725351315.565837,0,0
1725351315.586119,0,0
1725351315.6063645,0,0
1725351315.6265988,0,0
1725351315.6468394,0,0
1725351315.6670673,0,0
1725351315.687337,0,0
1725351315.707583,0,0
1725351315.727823,0,0
1725351315.748071,0,0
1725351315.7683017,0,0
1725351315.7885597,0,0
1725351315.808948,0,0
1725351315.829208,0,0
1725351315.8494048,0,0
1725351315.8696384,0,0
1725351315.889778,0,0
1725351315.9100175,0,0
1725351315.930253,0,0
1725351315.9504917,0,0
1725351315.970731,0,0
1725351315.9909608,0,0
1725351316.011188,0,0
1725351316.031536,0,0
1725351316.051791,0,0
1725351316.0719373,0,0
1725351316.0921884,0,0
1725351316.1125183,0,0
1725351316.1327548,0,0
1725351316.1530156,0,0
1725351316.17325,0,0
1725351316.193483,0,0
1725351316.2137206,0,0
1725351316.2339468,0,0
1725351316.25429,0,0
1725351316.274472,0,0
1725351316.2946813,0,0
1725351316.3148973,0,0
1725351316.335133,0,0
1725351316.355323,0,0
1725351316.3755767,0,0
1725351316.3960028,0,0
1725351316.416238,0,0
1725351316.436441,0,0
1725351316.4566228,0,0
1725351316.47684,0,0
