timestamp,Distance1,Distance2
1714485279.3598692,0,0
1714485279.3701036,0,0
1714485279.3802974,0,0
1714485279.3905387,0,0
1714485279.4006596,0,0
1714485279.4107704,0,0
1714485279.4208543,0,0
1714485279.430948,0,0
1714485279.441036,0,0
1714485279.451204,0,0
1714485279.4612813,0,0
1714485279.4713678,0,0
1714485279.4814868,0,0
1714485279.4915607,0,0
1714485279.501624,0,0
1714485279.5116916,0,0
1714485279.5217552,0,0
1714485279.5318196,0,0
1714485279.5419943,0,0
1714485279.5521908,0,0
1714485279.5623991,0,0
1714485279.5726378,0,0
1714485279.5828671,0,0
1714485279.5930893,0,0
1714485279.6033301,0,0
1714485279.6135783,0,0
1714485279.6238372,0,0
1714485279.6341772,0,0
1714485279.6444032,0,0
1714485279.6546252,0,0
1714485279.6648726,0,0
1714485279.6750252,0,0
1714485279.6852596,0,0
1714485279.695482,0,0
1714485279.7057242,0,0
1714485279.7159626,0,0
1714485279.7261903,0,0
1714485279.7364283,0,0
1714485279.7466521,0,0
1714485279.7568896,0,0
1714485279.7671213,0,0
1714485279.7773528,0,0
1714485279.7875957,0,0
1714485279.7978096,0,0
1714485279.8080466,0,0
1714485279.8182716,0,0
1714485279.8285034,0,0
1714485279.8387487,0,0
1714485279.8489792,0,0
1714485279.8592024,0,0
1714485279.8694253,0,0
1714485279.8796608,0,0
1714485279.8900409,0,0
1714485279.9005277,0,0
1714485279.9108706,0,0
1714485279.920986,0,0
1714485279.9310777,0,0
1714485279.9411764,0,0
1714485279.9512906,0,0
1714485279.9615524,0,0
1714485279.9717872,0,0
1714485279.9819088,0,0
1714485279.9921072,0,0
1714485280.002535,0,0
1714485280.0130105,0,0
1714485280.0232399,0,0
1714485280.0333922,0,0
1714485280.0437348,0,0
1714485280.0540252,0,0
1714485280.0642383,0,0
1714485280.0744517,0,0
1714485280.084682,0,0
1714485280.0949078,0,0
1714485280.1050394,0,0
1714485280.1155207,0,0
1714485280.1257486,0,0
1714485280.135877,0,0
1714485280.1461096,0,0
1714485280.156556,0,0
1714485280.1667783,0,0
1714485280.1769018,0,0
1714485280.1871462,0,0
1714485280.1973295,0,0
1714485280.2075102,0,0
1714485280.2177498,0,0
1714485280.2279708,0,0
1714485280.2381876,0,0
1714485280.248312,0,0
1714485280.258593,0,0
1714485280.269112,0,0
1714485280.27935,0,0
1714485280.2897427,0,0
1714485280.299978,0,0
1714485280.3103213,0,0
1714485280.320593,0,0
1714485280.3308291,0,0
1714485280.3409598,0,0
1714485280.3511965,0,0
1714485280.3615246,0,0
1714485280.371666,0,0
1714485280.3817542,0,0
1714485280.3918645,0,0
1714485280.4020946,0,0
1714485280.4122462,0,0
1714485280.422393,0,0
1714485280.4326217,0,0
1714485280.4428587,0,0
1714485280.4530818,0,0
1714485280.4631755,0,0
1714485280.4732692,0,0
1714485280.483343,0,0
1714485280.4934528,0,0
1714485280.5035596,0,0
1714485280.5136397,0,0
1714485280.523726,0,0
1714485280.5338125,0,0
1714485280.5438857,0,0
1714485280.55396,0,0
1714485280.5640469,0,0
1714485280.5741463,0,0
1714485280.5842195,0,0
1714485280.5943077,0,0
1714485280.6044183,0,0
1714485280.6145127,0,0
1714485280.6245856,0,0
1714485280.634674,0,0
1714485280.6447675,0,0
1714485280.6548448,0,0
1714485280.6650343,0,0
1714485280.6752706,0,0
1714485280.6855147,0,0
1714485280.6958797,0,0
1714485280.7062063,0,0
1714485280.7164316,0,0
1714485280.72665,0,0
1714485280.7368689,0,0
1714485280.747101,0,0
1714485280.7574759,0,0
1714485280.7677214,0,0
1714485280.7779455,0,0
1714485280.7881582,0,0
1714485280.7983904,0,0
1714485280.8086205,0,0
1714485280.8188555,0,0
1714485280.8290918,0,0
1714485280.8393264,0,0
1714485280.8495564,0,0
1714485280.8597944,0,0
1714485280.8700268,0,0
1714485280.8801992,0,0
1714485280.8904517,0,0
1714485280.9006715,0,0
1714485280.9108984,0,0
1714485280.9211237,0,0
1714485280.9312322,0,0
1714485280.941326,0,0
1714485280.951415,0,0
1714485280.961503,0,0
1714485280.9716432,0,0
1714485280.9818347,0,0
1714485280.9919817,0,0
1714485281.002203,0,0
1714485281.0124307,0,0
1714485281.0225477,0,0
1714485281.032646,0,0
1714485281.0429454,0,0
1714485281.053066,0,0
1714485281.0633123,0,0
1714485281.0735736,0,0
1714485281.0837605,0,0
1714485281.093914,0,0
1714485281.1040606,0,0
1714485281.114298,0,0
1714485281.1244216,0,0
1714485281.134648,0,0
1714485281.1448815,0,0
1714485281.1552396,0,0
1714485281.1654682,0,0
1714485281.175617,0,0
1714485281.1858506,0,0
1714485281.1960857,0,0
1714485281.2063062,0,0
1714485281.2165349,0,0
1714485281.2267623,0,0
1714485281.2369168,0,0
