whisker1_1,whisker1_2,whisker1_3,whisker2_1,whisker2_2,whisker2_3,WhiskerGT1,WhiskerGT2
2.042810365310288e-14,2.042810365310288e-14,2.1316282072803006e-14,3.375077994860476e-14,3.375077994860476e-14,3.375077994860476e-14,0.0,0.0
-0.5878121138984689,0.07137561087274413,-0.28184950956038435,0.8435924312216976,-2.541896223112733,-0.4747830182918058,0.0,0.0
-1.070252955740064,-1.0334765605167489,-0.560179262689811,1.0354815446418932,-4.232891975592286,-1.070359438745209,0.0,0.0
-1.4800474930630614,-1.9767950067115585,-0.5290706100441156,0.35889904008443096,-4.74160916341448,0.14090684418384036,0.0,0.0
-1.5334859248879198,-1.6301001199547605,-0.8998561810274968,1.7936575013891858,-5.554324431567404,1.8609334560207103,0.0,0.0
-1.347555533168987,-2.3107928564461373,-2.150799581277316,2.470521620577353,-6.853867357677417,3.4279631271615845,0.0,0.0
-1.919613507443394,-2.373560408074825,-3.072022257690207,0.5589819701040728,-8.33562660779118,5.3760823413306795,0.0,0.0
-2.0801901606598214,-2.612161003620633,-3.4623166749819445,-1.6168811579651194,-8.68750677514355,6.266222745418615,0.0,0.0
-2.269936698164938,-3.6817233957731412,-3.4972244064603597,-1.4540281643726765,-9.95130369493313,7.047241524089625,0.0,0.0
-3.090425504497179,-2.822149200672722,-4.208888360917124,0.5836772516897266,-9.789754388315119,7.871302464328702,0.0,0.0
-3.7190051405300046,-1.2621282605656692,-5.063434212908517,1.851615476000605,-9.348884153714963,7.718489470223961,0.0,0.0
-4.519752189083098,-0.892458812773282,-5.095050370751876,1.5307422605697703,-9.262109864723197,8.375833684160778,0.0,0.0
-5.129363883818068,-1.2074593560846703,-5.492149505409895,2.2244325461154233,-8.948158302273646,9.994641944767881,0.0,0.0
-5.608263099734608,-1.857558762407347,-6.132939935420174,4.175821105959773,-8.694439002137727,11.15772313638486,0.0,0.0
-5.691560779018275,-3.3219712087328532,-6.322785488460827,5.495833221682894,-9.340345291822354,11.801356458473842,0.0,0.0
-5.814994670627194,-5.089463527362072,-6.515199333162496,5.772426443428975,-10.512792066360376,12.514194213048436,0.0,0.0
-6.880270902708778,-5.631677709876499,-7.014529510955942,7.337662269333835,-10.85981511861285,14.643724192815954,0.0,0.0
-7.657966541099977,-5.5944418575042905,-6.802436824840153,9.273909178229763,-10.544535023179323,16.014042685923094,0.0,0.0
-7.933588963372409,-5.876172871990835,-6.72318575296525,10.257398538899068,-9.288536387946154,16.100724263225935,0.0,0.0
-8.483086209234656,-5.777570300057367,-7.03687853930768,11.515433169560014,-8.657448273362629,14.626606603065806,0.0,0.0
-8.604747900505444,-6.131809655178647,-7.0035879760611675,11.636796959483277,-8.585083015020519,14.976516394720937,0.0,0.0
-8.436309547758503,-7.264895884114907,-7.043528385303287,11.574428935488156,-10.345648645698418,16.27055350445029,0.0,0.0
-8.989255719368888,-7.616423036697165,-7.438417804653124,11.911380934396737,-12.727297394457004,15.700552644630793,0.0,0.0
-9.414681852468012,-6.374891800917947,-8.375900489308144,11.995085673025706,-12.914307426428753,16.16537922060911,0.0,0.0
-9.752825495298227,-5.728369967221934,-8.452410290947157,11.112497841621678,-12.483420199904222,16.43728117592588,0.0,0.0
-10.33700240390899,-7.0148099564837345,-8.254279475720814,9.923250584220822,-11.535103476743021,18.83478436214719,0.0,0.0
