Timestamp,app.PreprocessWhisker1_1,app.PreprocessWhisker1_2,app.PreprocessWhisker1_3,app.PreprocessWhisker2_1,app.PreprocessWhisker2_2,app.PreprocessWhisker2_3,app.stateInnerLoop,app.stateOuterLoop
57361,0,0,0,0,0,0,0,1
57381,0,0,0,0,0,0,0,1
57401,0,0,0,0,0,0,0,1
57421,0,0,0,0,0,0,0,1
57441,0,0,0,0,0,0,0,1
57461,0,0,0,0,0,0,0,1
57481,0,0,0,0,0,0,0,1
57501,0,0,0,0,0,0,0,1
57521,0,0,0,0,0,0,0,1
57541,0,0,0,0,0,0,0,1
57561,0,0,0,0,0,0,0,1
57581,0,0,0,0,0,0,0,1
57601,0,0,0,0,0,0,0,1
57621,0,0,0,0,0,0,0,1
57641,0,0,0,0,0,0,0,1
57661,0,0,0,0,0,0,0,1
57681,0,0,0,0,0,0,0,1
57701,0,0,0,0,0,0,0,1
57721,0,0,0,0,0,0,0,1
57741,0,0,0,0,0,0,0,1
57761,0,0,0,0,0,0,0,1
57781,0,0,0,0,0,0,0,1
57801,0,0,0,0,0,0,0,1
57821,0,0,0,0,0,0,0,1
57841,0,0,0,0,0,0,0,1
57861,0,0,0,0,0,0,0,1
57881,0,0,0,0,0,0,0,1
57901,0,0,0,0,0,0,0,1
57921,0,0,0,0,0,0,0,1
57941,0,0,0,0,0,0,0,1
57961,0,0,0,0,0,0,0,1
57981,0,0,0,0,0,0,0,1
58001,0,0,0,0,0,0,0,1
58021,0,0,0,0,0,0,0,1
58041,0,0,0,0,0,0,0,1
58061,0,0,0,0,0,0,0,1
58081,0,0,0,0,0,0,0,1
58101,0,0,0,0,0,0,0,1
58121,0,0,0,0,0,0,0,1
58141,0,0,0,0,0,0,0,1
58161,0,0,0,0,0,0,0,1
58181,0,0,0,0,0,0,0,1
58201,0,0,0,0,0,0,0,1
58221,0,0,0,0,0,0,0,1
58241,0,0,0,0,0,0,0,1
58261,0,0,0,0,0,0,0,1
58281,0,0,0,0,0,0,0,1
58301,0,0,0,0,0,0,0,1
58321,0,0,0,0,0,0,0,1
58341,0,0,0,0,0,0,0,1
58361,0,0,0,0,0,0,0,1
58381,0,0,0,0,0,0,0,1
58401,0,0,0,0,0,0,0,1
58421,0,0,0,0,0,0,0,1
58441,0,0,0,0,0,0,0,1
58461,0,0,0,0,0,0,0,1
58481,0,0,0,0,0,0,0,1
58501,0,0,0,0,0,0,0,1
58521,0,0,0,0,0,0,0,1
58541,0,0,0,0,0,0,0,1
58561,0,0,0,0,0,0,0,1
58581,0,0,0,0,0,0,0,1
58601,0,0,0,0,0,0,0,1
58621,0,0,0,0,0,0,0,1
58641,0,0,0,0,0,0,0,1
58661,0,0,0,0,0,0,0,1
58681,0,0,0,0,0,0,0,1
58701,0,0,0,0,0,0,0,1
58721,0,0,0,0,0,0,0,1
58741,0,0,0,0,0,0,0,1
58761,0,0,0,0,0,0,0,1
58781,0,0,0,0,0,0,0,1
58801,0,0,0,0,0,0,0,1
58821,0,0,0,0,0,0,0,1
58841,0,0,0,0,0,0,0,1
