Timestamp,app.PreprocessWhisker1_1,app.PreprocessWhisker1_2,app.PreprocessWhisker1_3,app.PreprocessWhisker2_1,app.PreprocessWhisker2_2,app.PreprocessWhisker2_3,app.stateInnerLoop,app.stateOuterLoop
135410,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
135430,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
135450,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
135470,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
135490,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
135510,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
135530,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
135550,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
135570,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
135590,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
135610,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
135630,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
135650,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
135670,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
135690,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
135710,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
135730,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
135750,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
135770,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
135790,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
135810,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
135830,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
135850,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
135870,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
135890,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
135910,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
135930,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
135950,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
135970,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
135990,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
136010,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
136030,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
136050,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
136070,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
136090,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
136110,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
136130,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
136150,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
136170,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
136190,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
136210,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
136230,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
136250,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
136270,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
136290,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
136310,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
136330,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
136350,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
136370,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
136390,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
136410,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
136430,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
136450,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
136470,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
136490,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
136510,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
136530,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
136550,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
136570,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
136590,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
136610,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
136630,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
136650,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
136670,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
136690,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
136710,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
136730,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
136750,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
136770,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
136790,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
136810,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
136830,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
136850,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
136870,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
136890,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
136910,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
136930,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
136950,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
136970,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
136990,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
137010,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
137030,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
137050,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
137070,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
137090,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
137110,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
137130,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
137150,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
137170,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
137190,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
137210,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
137230,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
137250,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
137270,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
137290,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
137310,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
137330,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
137350,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
137370,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
137390,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
137410,22.2808399200439,22.993070602417,-170.230911254883,28.8213768005371,12.1713666915894,50.9967498779297,2,2
