timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1_1, whisker1_2, whisker1_3, whisker2_1, whisker2_2, whisker2_3, motor1, motor2, motor3, motor4, roll, pitch, laserFront
70664, 0.0578882209956646, 0.025365976616740227, 0.3323109447956085, -0.030521441251039505, -0.01632978394627571, 0.005987448152154684, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
70684, 0.054903119802474976, 0.022719521075487137, 0.3324052393436432, -0.03489282727241516, -0.01967904344201088, 0.0043131327256560326, 113484.2265625, 141954.484375, 95491.65625, 115397.4921875, 145223.34375, 93693.7421875, 47639.0, 37183.0, 43528.0, 46849.0, -0.21104483306407928, 0.036541908979415894, 628.0
70704, 0.05287688970565796, 0.02247035503387451, 0.33188045024871826, -0.037030771374702454, -0.018811451271176338, 0.00019978414638899267, 113478.5, 141951.6875, 95486.8671875, 115400.328125, 145220.59375, 93683.796875, 48681.0, 36536.0, 42041.0, 47263.0, -0.1759244054555893, -0.12131217122077942, 632.0
70724, 0.05197697877883911, 0.021045560017228127, 0.33187177777290344, -0.0360574908554554, -0.020122604444622993, 0.0002963670704048127, 113477.734375, 141957.28125, 95500.9609375, 115407.515625, 145217.3125, 93687.2890625, 48753.0, 34937.0, 42001.0, 48525.0, -0.16812287271022797, -0.4735235869884491, 632.0
70744, 0.050732605159282684, 0.021800469607114792, 0.3327302932739258, -0.03402760997414589, -0.017543140798807144, 0.004923906177282333, 113486.390625, 141958.59375, 95499.7109375, 115400.9921875, 145225.203125, 93686.5390625, 50508.0, 33747.0, 39563.0, 49264.0, -0.18694019317626953, -1.0466572046279907, 633.0
70764, 0.051328420639038086, 0.020217061042785645, 0.33280593156814575, -0.02658175118267536, -0.01906781643629074, 0.004472760949283838, 113475.5703125, 141956.28125, 95490.8984375, 115403.1640625, 145222.90625, 93693.7421875, 50668.0, 31913.0, 39148.0, 50007.0, -0.23376525938510895, -1.7172229290008545, 633.0
70784, 0.04924421012401581, 0.020862044766545296, 0.33291658759117126, -0.021717790514230728, -0.016453826799988747, 0.005521317943930626, 113479.8984375, 141959.09375, 95492.140625, 115403.828125, 145225.65625, 93695.734375, 50890.0, 31878.0, 38484.0, 49983.0, -0.29965049028396606, -2.428673028945923, 633.0
70804, 0.04835380241274834, 0.021092798560857773, 0.33349350094795227, -0.012741818092763424, -0.014617344364523888, 0.007084488403052092, 113471.9453125, 141959.09375, 95491.65625, 115407.515625, 145221.484375, 93688.0390625, 50101.0, 32356.0, 39699.0, 49798.0, -0.312717080116272, -3.0628371238708496, 635.0
70824, 0.05092315375804901, 0.019860517233610153, 0.3336375057697296, 0.0041687749326229095, -0.015521875582635403, 0.00792672298848629, 113483.5234375, 141954.984375, 95506.234375, 115401.84375, 145221.046875, 93692.9921875, 50327.0, 32239.0, 39405.0, 49821.0, -0.2952457070350647, -3.6089048385620117, 635.0
70844, 0.05045776814222336, 0.020042411983013153, 0.3326709270477295, 0.016358306631445885, -0.013977309688925743, -0.00016795385454315692, 113480.6015625, 141959.09375, 95502.9765625, 115393.8046875, 145227.515625, 93689.765625, 50426.0, 33126.0, 39361.0, 49363.0, -0.2830236554145813, -4.032006740570068, 635.0
70864, 0.05103174224495888, 0.019164692610502243, 0.332689106464386, 0.03144459053874016, -0.014391588978469372, 0.0013336881529539824, 113469.078125, 141963.1875, 95490.8984375, 115396.640625, 145225.203125, 93689.015625, 48650.0, 35280.0, 42135.0, 48180.0, -0.30764487385749817, -4.340030670166016, 638.0
70884, 0.05228183791041374, 0.018110061064362526, 0.33198145031929016, 0.047607582062482834, -0.015090753324329853, -0.00563207408413291, 113468.375, 141957.28125, 95507.0, 115385.765625, 145226.09375, 93693.7421875, 49189.0, 36810.0, 41440.0, 47265.0, -0.33308732509613037, -4.541347026824951, 638.0
70904, 0.055319786071777344, 0.01776263862848282, 0.33182331919670105, 0.06679864972829819, -0.014495231211185455, -0.010220794938504696, 113461.8828125, 141958.59375, 95494.921875, 115381.4140625, 145221.046875, 93687.7734375, 49015.0, 37741.0, 41741.0, 46832.0, -0.3253624737262726, -4.644651412963867, 638.0
