timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1_1, whisker1_2, whisker1_3, whisker2_1, whisker2_2, whisker2_3, motor1, motor2, motor3, motor4, roll, pitch, laserFront
13625, 0.0019684520084410906, -0.015505422838032246, 0.3240309953689575, -0.004105252679437399, 0.01834185980260372, -0.0270945206284523, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
13645, 0.0018838238902390003, -0.015140092931687832, 0.3235096335411072, -0.004359123297035694, 0.018166199326515198, -0.024599971249699593, 108585.28125, 140379.46875, 95834.546875, 111698.5625, 143372.859375, 92346.6953125, 45325.0, 42726.0, 44654.0, 42893.0, 0.034931160509586334, 0.07305490225553513, 0.0
13665, 0.0020605975296348333, -0.013386673294007778, 0.323049396276474, -0.003906694706529379, 0.02014130912721157, -0.021590882912278175, 108600.796875, 140379.984375, 95844.625, 111698.5625, 143372.859375, 92351.3984375, 46017.0, 40664.0, 44363.0, 45154.0, 0.0748911201953888, 0.023570876568555832, 0.0
13685, -0.00016638980014249682, -0.013876589946448803, 0.3239099383354187, -0.0065603358671069145, 0.01808636449277401, -0.011172021739184856, 108595.1875, 140372.578125, 95830.515625, 111699.25, 143370.109375, 92356.5703125, 47302.0, 41355.0, 42847.0, 44266.0, 0.14863543212413788, -0.1755172163248062, 0.0
13705, 0.003193656448274851, -0.011924894526600838, 0.3237370550632477, 0.0020925726275891066, 0.02010757103562355, -0.006151276174932718, 108600.125, 140366.71875, 95819.1875, 111703.546875, 143376.546875, 92346.234375, 47649.0, 40466.0, 41914.0, 44686.0, 0.2196606993675232, -0.6165047883987427, 0.0
13725, -0.0043667638674378395, -0.012135582976043224, 0.32459163665771484, -0.005986055824905634, 0.01827322691679001, 0.002894555451348424, 108595.140625, 140381.765625, 95830.9921875, 111702.859375, 143371.9375, 92352.6171875, 47249.0, 39871.0, 42095.0, 44956.0, 0.25247684121131897, -1.1853277683258057, 0.0
13745, -0.00773658649995923, -0.012094761244952679, 0.32470640540122986, -0.004604491870850325, 0.01703818142414093, 0.007997998036444187, 108605.1015625, 140384.578125, 95828.5, 111704.328125, 143370.109375, 92350.1875, 46875.0, 39706.0, 41895.0, 44705.0, 0.24352112412452698, -1.8142435550689697, 0.0
13765, -0.00858083926141262, -0.01230055745691061, 0.32415395975112915, 0.002924843691289425, 0.015541872940957546, 0.007020725402981043, 108612.1640625, 140381.765625, 95831.765625, 111707.15625, 143374.703125, 92352.6171875, 47297.0, 39653.0, 41013.0, 44678.0, 0.21748875081539154, -2.408010959625244, 0.0
13785, -0.010573606006801128, -0.012727301567792892, 0.32431045174598694, 0.009718346409499645, 0.013762109912931919, 0.007598956115543842, 108603.6484375, 140377.171875, 95822.453125, 111707.15625, 143381.140625, 92352.15625, 46980.0, 39587.0, 41203.0, 44746.0, 0.2074466347694397, -2.948878049850464, 0.0
13805, -0.010905586183071136, -0.012957544066011906, 0.3231221139431, 0.020484251901507378, 0.012411797419190407, 0.0015794301871210337, 108603.6484375, 140379.46875, 95827.734375, 111697.8828125, 143374.703125, 92360.515625, 47342.0, 38946.0, 40624.0, 45181.0, 0.2073107659816742, -3.367511510848999, 0.0
13825, -0.010654919780790806, -0.011592314578592777, 0.3231537938117981, 0.03294553607702255, 0.013939570635557175, 0.0011578996200114489, 108600.125, 140370.796875, 95840.59375, 111691.4375, 143379.296875, 92354.59375, 47019.0, 39704.0, 41353.0, 44903.0, 0.20340755581855774, -3.7080729007720947, 0.0
13845, -0.00985741801559925, -0.011316844262182713, 0.32318100333213806, 0.04694714769721031, 0.013620044104754925, 0.002109759021550417, 108598.71875, 140381.765625, 95832.53125, 111692.8046875, 143371.9375, 92360.515625, 46904.0, 40204.0, 41499.0, 44397.0, 0.16761654615402222, -4.0002970695495605, 0.0
13865, -0.007835703901946545, -0.011293740011751652, 0.3231407701969147, 0.06316886842250824, 0.013000821694731712, 0.001282313372939825, 108598.671875, 140379.46875, 95831.28125, 111690.65625, 143372.40625, 92358.5390625, 46896.0, 39701.0, 41673.0, 44968.0, 0.12437133491039276, -4.213517665863037, 0.0
13885, -0.006190424785017967, -0.012948384508490562, 0.32315924763679504, 0.07849977910518646, 0.00943028274923563, 0.000902561645489186, 108600.125, 140381.765625, 95825.71875, 111690.65625, 143374.234375, 92356.109375, 47133.0, 39436.0, 41168.0, 45310.0, 0.11187131702899933, -4.349150657653809, 0.0
13905, -0.0010640504769980907, -0.013258224353194237, 0.32477259635925293, 0.0994999036192894, 0.008275600150227547, 0.007481906097382307, 108611.4375, 140377.171875, 95833.78125, 111704.328125, 143378.84375, 92354.1328125, 47664.0, 39082.0, 39891.0, 45161.0, 0.1384446918964386, -4.366286754608154, 0.0
13925, 0.0002618989092297852, -0.013195930048823357, 0.32492393255233765, 0.11259075999259949, 0.0077239456586539745, 0.00721381651237607, 108606.5078125, 140380.5, 95830.9921875, 111705.0078125, 143379.296875, 92363.25, 46386.0, 39780.0, 41386.0, 44668.0, 0.15976360440254211, -4.303483009338379, 0.0
13945, 0.005097041372209787, -0.013197253458201885, 0.32590335607528687, 0.1307382881641388, 0.007042604498565197, 0.010988711379468441, 108605.1015625, 140383.53125, 95825.71875, 111710.0859375, 143374.703125, 92353.375, 47376.0, 38459.0, 40123.0, 45816.0, 0.16495294868946075, -4.066579341888428, 0.0
13965, 0.00668626744300127, -0.011956248432397842, 0.3261246383190155, 0.14127585291862488, 0.008649316616356373, 0.010112367570400238, 108616.4140625, 140388.125, 95819.1875, 111715.75, 143378.84375, 92361.734375, 45905.0, 38874.0, 41528.0, 45219.0, 0.14474773406982422, -3.769458770751953, 0.0
