timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1_1, whisker1_2, whisker1_3, whisker2_1, whisker2_2, whisker2_3, motor1, motor2, motor3, motor4, roll, pitch, laserFront
18453, 0.0026328954845666885, 0.03128211200237274, 0.3268812596797943, 0.00019196431094314903, -0.004558674991130829, 0.001877063070423901, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18473, -3.5143402783432975e-05, 0.028061164543032646, 0.3269050121307373, -0.004280448891222477, -0.010203302837908268, -0.0008690144750289619, 112567.8828125, 139610.46875, 93877.765625, 114362.125, 145166.1875, 92125.0859375, 43335.0, 42112.0, 43620.0, 44589.0, 0.11807657033205032, -0.011640672571957111, 760.0
18493, 0.00303101260215044, 0.02958400547504425, 0.3277037441730499, 0.001104541472159326, -0.00777198001742363, 0.005741606466472149, 112580.125, 139610.46875, 93892.203125, 114362.7890625, 145162.453125, 92129.03125, 44668.0, 41794.0, 42770.0, 44546.0, 0.1322167068719864, -0.056286513805389404, 760.0
18513, 0.006922152824699879, 0.027773139998316765, 0.32780349254608154, 0.008323043584823608, -0.011025629006326199, 0.00525745889171958, 112575.109375, 139614.53125, 93875.7734375, 114375.1328125, 145170.796875, 92131.46875, 44844.0, 40899.0, 42340.0, 45014.0, 0.13899746537208557, -0.3124177157878876, 760.0
18533, 0.0006416214746423066, 0.028118537738919258, 0.3278871476650238, -0.00027129752561450005, -0.010647965595126152, 0.003727738047018647, 112580.125, 139609.9375, 93875.7734375, 114372.296875, 145168.484375, 92128.2734375, 45944.0, 39050.0, 40936.0, 46588.0, 0.16306072473526, -0.7626037001609802, 760.0
18553, -0.003908833954483271, 0.02926757000386715, 0.3271673321723938, -0.004033687058836222, -0.008928603492677212, -0.001163420733064413, 112576.515625, 139614.015625, 93878.5390625, 114362.7890625, 145164.3125, 92127.0546875, 46421.0, 37904.0, 40388.0, 47433.0, 0.14085349440574646, -1.2710933685302734, 757.0
18573, -0.002143274759873748, 0.03008478693664074, 0.32711389660835266, 0.004747424274682999, -0.007708656135946512, -0.004163511097431183, 112570.046875, 139616.828125, 93887.75, 114368.625, 145168.484375, 92127.0546875, 47018.0, 38481.0, 40236.0, 47136.0, 0.08941538631916046, -1.879289984703064, 757.0
18593, -0.0018481863662600517, 0.029169661924242973, 0.3269854187965393, 0.012948554009199142, -0.009318120777606964, -0.0047574155032634735, 112582.9921875, 139614.015625, 93877.0, 114372.296875, 145176.8125, 92131.46875, 46761.0, 39457.0, 40624.0, 46342.0, 0.04684656113386154, -2.4890787601470947, 757.0
18613, -0.003074743552133441, 0.029746247455477715, 0.3268793821334839, 0.020184414461255074, -0.008269006386399269, -0.006539339665323496, 112579.421875, 139609.421875, 93888.9765625, 114368.625, 145173.09375, 92123.8671875, 47182.0, 39025.0, 40209.0, 46604.0, 0.03427954390645027, -2.9756288528442383, 756.0
18633, -0.0046902867034077644, 0.028895700350403786, 0.3260410726070404, 0.027929898351430893, -0.009539198130369186, -0.011573017574846745, 112575.109375, 139609.9375, 93877.765625, 114362.125, 145174.953125, 92132.9765625, 46570.0, 39302.0, 41277.0, 46530.0, -0.008018397726118565, -3.425884962081909, 756.0
18653, -0.0036792622413486242, 0.027746237814426422, 0.3257787525653839, 0.04078269377350807, -0.011184928007423878, -0.013732276856899261, 112572.203125, 139619.125, 93879.765625, 114353.453125, 145170.796875, 92131.0078125, 46214.0, 39315.0, 42023.0, 46668.0, -0.03427543863654137, -3.701270341873169, 759.0
18673, -0.003350092563778162, 0.029368679970502853, 0.32765448093414307, 0.05305579677224159, -0.008036894723773003, -0.0013249277835711837, 112577.265625, 139619.125, 93879.765625, 114362.125, 145171.234375, 92132.21875, 46057.0, 39423.0, 42511.0, 46506.0, -0.045448187738657, -3.9143879413604736, 759.0
18693, -0.0008570600766688585, 0.027593839913606644, 0.3276275098323822, 0.06896288692951202, -0.010611698031425476, -0.001730867545120418, 112572.203125, 139608.171875, 93890.96875, 114353.453125, 145173.53125, 92136.1640625, 48256.0, 38907.0, 38991.0, 46651.0, -0.08158241212368011, -4.029483318328857, 759.0
