timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1_1, whisker1_2, whisker1_3, whisker2_1, whisker2_2, whisker2_3, motor1, motor2, motor3, motor4, roll, pitch, laserFront
58957, 0.13098959624767303, -0.06974337249994278, 0.3281230628490448, -0.0016543728997930884, -0.012108199298381805, 0.003520212834700942, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
58977, 0.12781517207622528, -0.07187451422214508, 0.32819053530693054, -0.007612923625856638, -0.01335497573018074, 0.0030592679977416992, 115280.34375, 145157.609375, 92491.015625, 120622.4609375, 144597.296875, 96773.203125, 39279.0, 32677.0, 31761.0, 41763.0, -0.5557889342308044, 0.2401900440454483, 0.0
58997, 0.12505047023296356, -0.071317657828331, 0.3269657492637634, -0.01250156294554472, -0.010315297171473503, -0.0016366419149562716, 115276.0078125, 145157.609375, 92489.8203125, 120624.6640625, 144599.59375, 96777.984375, 41832.0, 29326.0, 28366.0, 45868.0, -0.49809926748275757, 0.23513580858707428, 0.0
59017, 0.12657777965068817, -0.07056651264429092, 0.32698628306388855, -0.009108366444706917, -0.006872151978313923, 0.0034408208448439837, 115276.7578125, 145153.5, 92490.609375, 120621.5546875, 144589.046875, 96773.953125, 41194.0, 30230.0, 29268.0, 44688.0, -0.5243977308273315, 0.002306180540472269, 0.0
59037, 0.1287814825773239, -0.07147473841905594, 0.3270915150642395, -0.0027582610491663218, -0.00628014886751771, 0.006752706132829189, 115281.1015625, 145157.125, 92490.609375, 120623.109375, 144597.296875, 96769.921875, 44657.0, 30161.0, 25995.0, 45079.0, -0.5746485590934753, -0.5027696490287781, 0.0
59057, 0.1234595999121666, -0.07150997221469879, 0.32761150598526, -0.006646423600614071, -0.004633898381143808, 0.007867700420320034, 115283.265625, 145155.3125, 92488.6328125, 120632.546875, 144592.25, 96773.953125, 42540.0, 30454.0, 27998.0, 44468.0, -0.5026968121528625, -1.2606970071792603, 0.0
59077, 0.12714558839797974, -0.07240115851163864, 0.3277489244937897, 0.0065041775815188885, -0.005027519538998604, 0.006135587114840746, 115281.8046875, 145159.90625, 92482.7109375, 120630.3515625, 144586.765625, 96773.953125, 43035.0, 31943.0, 27065.0, 43025.0, -0.3600415885448456, -1.884893536567688, 0.0
59097, 0.12461919337511063, -0.07246892899274826, 0.3292176425457001, 0.01071980781853199, -0.004304478410631418, 0.012039548717439175, 115279.6328125, 145164.015625, 92488.6328125, 120635.6640625, 144584.921875, 96773.953125, 42468.0, 30968.0, 27472.0, 44256.0, -0.2686036229133606, -2.458644390106201, 0.0
59117, 0.12223994731903076, -0.07214159518480301, 0.329439640045166, 0.01614823378622532, -0.0030520614236593246, 0.009278400801122189, 115273.8359375, 145157.125, 92493.375, 120627.5078125, 144592.71875, 96771.1875, 41954.0, 27842.0, 27984.0, 46596.0, -0.2333364337682724, -2.8580987453460693, 0.0
59137, 0.12170186638832092, -0.07265053689479828, 0.32940560579299927, 0.025353016331791878, -0.003143212990835309, 0.004096093587577343, 115277.515625, 145153.0, 92496.9375, 120620.90625, 144593.640625, 96776.4765625, 42116.0, 28936.0, 27542.0, 45858.0, -0.2615238130092621, -3.1638259887695312, 0.0
