Timestamp,Whisker.Barometer1_1,Whisker.Barometer1_2,Whisker.Barometer1_3,Whisker1.Barometer2_1,Whisker1.Barometer2_2,Whisker1.Barometer2_3
57356,108765.109375,143952.78125,90909.21875,105330.8125,136064.359375,92557.2890625
57376,108767.2421875,143955.078125,90911.1796875,105339.203125,136071.171875,92554.09375
57396,108768.640625,143953.265625,90909.21875,105333.625,136068.375,92562
57416,108767.96875,143953.265625,90905.296875,105339.203125,136066.109375,92554.5546875
57436,108767.96875,143952.78125,90908.4375,105337.15625,136064.359375,92561.2421875
57456,108771.5,143955.078125,90900.59375,105344.1171875,136062.078125,92554.859375
57476,108764.4375,143960.1875,90897.4453125,105337.109375,136061.546875,92561.2421875
57496,108768.6953125,143955.078125,90893.9296875,105332.90625,136067.15625,92562.453125
57516,108767.96875,143954.25,90890.3828125,105323.1328125,136070.125,92558.046875
57536,108767.96875,143962.484375,90898.2265625,105325.234375,136060.328125,92553.3359375
57556,108762.984375,143957.875,90897.8515625,105327.328125,136063.828125,92558.046875
57576,108764.3828125,143953.75,90895.484375,105323.8515625,136060.328125,92555.3125
57596,108759.4609375,143959.6875,90892.7421875,105326.6171875,136065.40625,92558.046875
57616,108763.7109375,143953.75,90891.5625,105325.9453125,136063.828125,92557.2890625
57636,108767.96875,143950.953125,90891.5625,105337.8203125,136055.78125,92558.5078125
57656,108770.09375,143954.25,90880.171875,105341.3046875,136055.25,92557.59375
57676,108772.953125,143955.5625,90886.859375,105341.3046875,136059.8125,92560.4765625
57696,108772.2265625,143951.453125,90888.8203125,105339.203125,136062.078125,92553.3359375
57716,108775.078125,143961.15625,90883.71875,105335.0078125,136057,92561.2421875
57736,108775.078125,143956.0625,90882.53125,105329.4296875,136067.15625,92558.046875
57756,108777.8828125,143953.75,90886.4609375,105327.328125,136061.546875,92557.2890625
57776,108772.2265625,143957.875,90882.53125,105329.4296875,136058.0625,92555.3125
57796,108775.75,143953.75,90879.390625,105333.625,136059.8125,92558.8046875
57816,108772.953125,143949.625,90875.8671875,105333.625,136064.875,92560.0234375
57836,108767.296875,143954.25,90872.7265625,105335.7265625,136060.328125,92556.828125
57856,108774.3515625,143960.671875,90874.6875,105337.15625,136055.78125,92562
57876,108768.6953125,143957.875,90869.5859375,105328.765625,136064.875,92561.2421875
57896,108777.2109375,143964.796875,90875.8671875,105335.0546875,136060.328125,92561.2421875
57916,108778.6640625,143956.0625,90870.765625,105337.109375,136056.3125,92563.9765625
57936,108771.5546875,143953.75,90871.9453125,105337.8203125,136072.921875,92556.828125
57956,108767.296875,143964.796875,90868.8046875,105337.109375,136068.90625,92556.828125
57976,108776.4765625,143958.859375,90862.140625,105333.625,136066.625,92562.7578125
57996,108770.8203125,143956.546875,90864.8828125,105336.4375,136066.625,92562.7578125
58016,108767.96875,143957.875,90867.625,105331.53125,136058.578125,92558.8046875
58036,108770.8203125,143960.671875,90863.703125,105332.9609375,136069.421875,92558.8046875
58056,108772.953125,143953.75,90871.9453125,105335.7265625,136071.171875,92562
58076,108776.4765625,143960.1875,90856.2578125,105337.109375,136067.6875,92558.046875
58096,108771.5546875,143954.25,90856.6328125,105335.7265625,136058.0625,92561.5390625
58116,108783.59375,143954.25,90853.1171875,105337.109375,136062.609375,92562.7578125
58136,108778.6640625,143954.734375,90850.375,105334.34375,136068.375,92571.1171875
58156,108778.609375,143962.484375,90851.15625,105332.2421875,136067.15625,92565.953125
58176,108778.609375,143954.25,90851.15625,105330.1484375,136072.921875,92563.9765625
58196,108780.734375,143956.546875,90851.15625,105336.4375,136067.15625,92563.9765625
58216,108777.2109375,143961.15625,90853.890625,105340.6328125,136070.65625,92564.734375
58236,108771.5546875,143965.765625,90854.296875,105332.9609375,136060.328125,92560.78125
58256,108777.2109375,143956.546875,90842.125,105331.53125,136069.421875,92563.9765625
58276,108772.28125,143957.03125,90849.96875,105330.1484375,136064.875,92565.953125
58296,108781.4609375,143958.859375,90846.828125,105338.5390625,136069.421875,92566.7109375
58316,108777.9375,143954.25,90849.1953125,105338.5390625,136064.875,92564.734375
58336,108782.1875,143962.96875,90837.4296875,105328.765625,136064.875,92562.7578125
58356,108782.921875,143958.859375,90840.9453125,105334.34375,136071.703125,92562.7578125
58376,108787.84375,143959.34375,90836.2421875,105330.1484375,136071.171875,92565.953125
58396,108787.1171875,143957.875,90833.5078125,105332.9609375,136065.40625,92573.09375
58416,108782.921875,143952.921875,90830.359375,105330.859375,136061.390625,92566.7109375
58436,108780.7890625,143960.671875,90837.0234375,105332.9609375,136066.625,92566.7109375
58456,108775.8046875,143957.03125,90829.1796875,105342.015625,136064.875,92565.953125
58476,108779.3359375,143967.09375,90825.2578125,105335.7734375,136062.609375,92567.1640625
58496,108784.3203125,143957.03125,90832.3203125,105328.765625,136067.15625,92560.78125
58516,108775.8046875,143963.46875,90833.1015625,105332.9609375,136062.609375,92569.8984375
58536,108777.9375,143959.828125,90832.3203125,105330.859375,136071.703125,92569.8984375
