timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1_1, whisker1_2, whisker1_3, whisker2_1, whisker2_2, whisker2_3, motor1, motor2, motor3, motor4, roll, pitch, laserFront
254648, 0.03953910619020462, 0.019206577911973, 0.331840842962265, -0.010986456647515297, 0.005561030935496092, 0.00914905034005642, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
254668, 0.03963647410273552, 0.019667357206344604, 0.3320373594760895, -0.009739376604557037, 0.006451728753745556, 0.009577661752700806, 111769.25, 135632.21875, 94306.6875, 131241.71875, 166375.28125, 166425.703125, 52819.0, 45038.0, 42439.0, 60810.0, -0.09247993677854538, -0.1336711198091507, 32766.0
254688, 0.039449214935302734, 0.019799457862973213, 0.331359326839447, -0.008717547170817852, 0.006744257640093565, 0.006568203680217266, 111762.03125, 135621.328125, 94298.671875, 131246.859375, 166373.1875, 166427.796875, 54021.0, 46454.0, 40926.0, 60390.0, -0.10231437534093857, -0.2677920162677765, 32766.0
254708, 0.03824229538440704, 0.019074341282248497, 0.33150023221969604, -0.008556907996535301, 0.005399317480623722, 0.007380317896604538, 111761.328125, 135619.578125, 94302.6796875, 131244.0, 166375.28125, 166429.90625, 54434.0, 45854.0, 40072.0, 60333.0, -0.060770463198423386, -0.5649656057357788, 32766.0
254728, 0.02548544481396675, 0.021964455023407936, 0.3302229344844818, -0.026882320642471313, 0.010141098871827126, 0.0002546094183344394, 111767.796875, 135625.359375, 94300.671875, 131249.140625, 166375.28125, 166427.796875, 54080.0, 46522.0, 41227.0, 59762.0, -0.017193825915455818, -1.0531679391860962, 32766.0
254748, 0.027282297611236572, 0.022693149745464325, 0.3302362263202667, -0.017683370038866997, 0.01057157851755619, 0.00020133070938754827, 111776.421875, 135625.359375, 94298.671875, 131250.828125, 166373.1875, 166425.703125, 53107.0, 47275.0, 42745.0, 59213.0, 0.0436382032930851, -1.6805713176727295, 32766.0
254768, 0.030249862000346184, 0.0208098404109478, 0.3302370607852936, -0.004453382920473814, 0.006111531984061003, -0.0007749545038677752, 111770.7109375, 135626.4375, 94285.40625, 131261.640625, 166377.390625, 166425.703125, 51938.0, 48453.0, 44162.0, 58454.0, 0.08087693154811859, -2.3853039741516113, 32766.0
254788, 0.02324729599058628, 0.02433273196220398, 0.33143946528434753, -0.006729137152433395, 0.010944574140012264, 0.004054355900734663, 111782.1953125, 135624.15625, 94287.40625, 131254.28125, 166377.390625, 166427.796875, 50521.0, 49476.0, 45658.0, 57332.0, 0.06924000382423401, -2.967961311340332, 574.0
254808, 0.023880649358034134, 0.0240115225315094, 0.3315166234970093, 0.005765763111412525, 0.008985614404082298, 0.0028178407810628414, 111765.640625, 135624.15625, 94302.6796875, 131255.390625, 166375.28125, 166427.796875, 48361.0, 52049.0, 48478.0, 55176.0, 0.06253883242607117, -3.4562876224517822, 574.0
254828, 0.024051137268543243, 0.023981347680091858, 0.3321886658668518, 0.018427567556500435, 0.0074355145916342735, 0.0049754041247069836, 111771.40625, 135625.90625, 94298.9453125, 131250.828125, 166375.28125, 166425.703125, 47426.0, 52896.0, 49332.0, 54503.0, 0.09539991617202759, -3.8552932739257812, 574.0
